bill_length_mm,bill_depth_mm,flipper_length_mm
39.1,18.7,181
39.5,17.4,186
40.3,18,195
36.7,19.3,193
39.3,20.6,190
38.9,17.8,181
39.2,19.6,195
34.1,18.1,193
42,20.2,190
37.8,17.1,186
37.8,17.3,180
41.1,17.6,182
38.6,21.2,191
34.6,21.1,198
36.6,17.8,185
38.7,19,195
42.5,20.7,197
34.4,18.4,184
46,21.5,194
37.8,18.3,174
37.7,18.7,180
35.9,19.2,189
38.2,18.1,185
38.8,17.2,180
35.3,18.9,187
40.6,18.6,183
40.5,17.9,187
37.9,18.6,172
40.5,18.9,180
39.5,16.7,178
37.2,18.1,178
39.5,17.8,188
40.9,18.9,184
36.4,17,195
39.2,21.1,196
38.8,20,190
42.2,18.5,180
37.6,19.3,181
39.8,19.1,184
36.5,18,182
40.8,18.4,195
36,18.5,186
44.1,19.7,196
37,16.9,185
39.6,18.8,190
41.1,19,182
37.5,18.9,179
36,17.9,190
42.3,21.2,191
39.6,17.7,186
40.1,18.9,188
35,17.9,190
42,19.5,200
34.5,18.1,187
41.4,18.6,191
39,17.5,186
40.6,18.8,193
36.5,16.6,181
37.6,19.1,194
35.7,16.9,185
41.3,21.1,195
37.6,17,185
41.1,18.2,192
36.4,17.1,184
41.6,18,192
35.5,16.2,195
41.1,19.1,188
35.9,16.6,190
41.8,19.4,198
33.5,19,190
39.7,18.4,190
39.6,17.2,196
45.8,18.9,197
35.5,17.5,190
42.8,18.5,195
40.9,16.8,191
37.2,19.4,184
36.2,16.1,187
42.1,19.1,195
34.6,17.2,189
42.9,17.6,196
36.7,18.8,187
35.1,19.4,193
37.3,17.8,191
41.3,20.3,194
36.3,19.5,190
36.9,18.6,189
38.3,19.2,189
38.9,18.8,190
35.7,18,202
41.1,18.1,205
34,17.1,185
39.6,18.1,186
36.2,17.3,187
40.8,18.9,208
38.1,18.6,190
40.3,18.5,196
33.1,16.1,178
43.2,18.5,192
35,17.9,192
41,20,203
37.7,16,183
37.8,20,190
37.9,18.6,193
39.7,18.9,184
38.6,17.2,199
38.2,20,190
38.1,17,181
43.2,19,197
38.1,16.5,198
45.6,20.3,191
39.7,17.7,193
42.2,19.5,197
39.6,20.7,191
42.7,18.3,196
38.6,17,188
37.3,20.5,199
35.7,17,189
41.1,18.6,189
36.2,17.2,187
37.7,19.8,198
40.2,17,176
41.4,18.5,202
35.2,15.9,186
40.6,19,199
38.8,17.6,191
41.5,18.3,195
39,17.1,191
44.1,18,210
38.5,17.9,190
43.1,19.2,197
36.8,18.5,193
37.5,18.5,199
38.1,17.6,187
41.1,17.5,190
35.6,17.5,191
40.2,20.1,200
37,16.5,185
39.7,17.9,193
40.2,17.1,193
40.6,17.2,187
32.1,15.5,188
40.7,17,190
37.3,16.8,192
39,18.7,185
39.2,18.6,190
36.6,18.4,184
36,17.8,195
37.8,18.1,193
36,17.1,187
41.5,18.5,201
46.5,17.9,192
50,19.5,196
51.3,19.2,193
45.4,18.7,188
52.7,19.8,197
45.2,17.8,198
46.1,18.2,178
51.3,18.2,197
46,18.9,195
51.3,19.9,198
46.6,17.8,193
51.7,20.3,194
47,17.3,185
52,18.1,201
45.9,17.1,190
50.5,19.6,201
50.3,20,197
58,17.8,181
46.4,18.6,190
49.2,18.2,195
42.4,17.3,181
48.5,17.5,191
43.2,16.6,187
50.6,19.4,193
46.7,17.9,195
52,19,197
50.5,18.4,200
49.5,19,200
46.4,17.8,191
52.8,20,205
40.9,16.6,187
54.2,20.8,201
42.5,16.7,187
51,18.8,203
49.7,18.6,195
47.5,16.8,199
47.6,18.3,195
52,20.7,210
46.9,16.6,192
53.5,19.9,205
49,19.5,210
46.2,17.5,187
50.9,19.1,196
45.5,17,196
50.9,17.9,196
50.8,18.5,201
50.1,17.9,190
49,19.6,212
51.5,18.7,187
49.8,17.3,198
48.1,16.4,199
51.4,19,201
45.7,17.3,193
50.7,19.7,203
42.5,17.3,187
52.2,18.8,197
45.2,16.6,191
49.3,19.9,203
50.2,18.8,202
45.6,19.4,194
51.9,19.5,206
46.8,16.5,189
45.7,17,195
55.8,19.8,207
43.5,18.1,202
49.6,18.2,193
50.8,19,210
50.2,18.7,198
46.1,13.2,211
50,16.3,230
48.7,14.1,210
50,15.2,218
47.6,14.5,215
46.5,13.5,210
45.4,14.6,211
46.7,15.3,219
43.3,13.4,209
46.8,15.4,215
40.9,13.7,214
49,16.1,216
45.5,13.7,214
48.4,14.6,213
45.8,14.6,210
49.3,15.7,217
42,13.5,210
49.2,15.2,221
46.2,14.5,209
48.7,15.1,222
50.2,14.3,218
45.1,14.5,215
46.5,14.5,213
46.3,15.8,215
42.9,13.1,215
46.1,15.1,215
44.5,14.3,216
47.8,15,215
48.2,14.3,210
50,15.3,220
47.3,15.3,222
42.8,14.2,209
45.1,14.5,207
59.6,17,230
49.1,14.8,220
48.4,16.3,220
42.6,13.7,213
44.4,17.3,219
44,13.6,208
48.7,15.7,208
42.7,13.7,208
49.6,16,225
45.3,13.7,210
49.6,15,216
50.5,15.9,222
43.6,13.9,217
45.5,13.9,210
50.5,15.9,225
44.9,13.3,213
45.2,15.8,215
46.6,14.2,210
48.5,14.1,220
45.1,14.4,210
50.1,15,225
46.5,14.4,217
45,15.4,220
43.8,13.9,208
45.5,15,220
43.2,14.5,208
50.4,15.3,224
45.3,13.8,208
46.2,14.9,221
45.7,13.9,214
54.3,15.7,231
45.8,14.2,219
49.8,16.8,230
46.2,14.4,214
49.5,16.2,229
43.5,14.2,220
50.7,15,223
47.7,15,216
46.4,15.6,221
48.2,15.6,221
46.5,14.8,217
46.4,15,216
48.6,16,230
47.5,14.2,209
51.1,16.3,220
45.2,13.8,215
45.2,16.4,223
49.1,14.5,212
52.5,15.6,221
47.4,14.6,212
50,15.9,224
44.9,13.8,212
50.8,17.3,228
43.4,14.4,218
51.3,14.2,218
47.5,14,212
52.1,17,230
47.5,15,218
52.2,17.1,228
45.5,14.5,212
49.5,16.1,224
44.5,14.7,214
50.8,15.7,226
49.4,15.8,216
46.9,14.6,222
48.4,14.4,203
51.1,16.5,225
48.5,15,219
55.9,17,228
47.2,15.5,215
49.1,15,228
47.3,13.8,216
46.8,16.1,215
41.7,14.7,210
53.4,15.8,219
43.3,14,208
48.1,15.1,209
50.5,15.2,216
49.8,15.9,229
43.5,15.2,213
51.5,16.3,230
46.2,14.1,217
55.1,16,230
44.5,15.7,217
48.8,16.2,222
47.2,13.7,214
46.8,14.3,215
50.4,15.7,222
45.2,14.8,212
49.9,16.1,213
